     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     53248,        93,         0,   0.578,pymatching,c609288bfcf8377a553f97046bd6af0c1f9f67660b50a08fa370fd0c5d17abce,"{""d"":5,""eta"":1000,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,1000],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00017,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
     22528,        36,         0,   0.281,pymatching,f773b74b2c8495d4897ae93f00298c2db4ba2a9aface67eabf7d1d785dd2a722,"{""d"":5,""eta"":1000,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,1000],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
    249856,       324,         0,    3.05,pymatching,cb69ff885092859d9fec60ef2432fa4fd6dcb0f801a2f56f6a606d6e9fea437a,"{""d"":5,""eta"":100,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,100],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00017,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
     89088,       166,         0,    1.12,pymatching,4260e0a2054ecbe7bc8555ab7e9c89eab9c60c16c1c600606cd7fcd7a83e55d1,"{""d"":5,""eta"":100,""memory"":""Z"",""p"":0.00185,""params"":{""after_clifford1_depolarization"":0.000185,""after_clifford2_depolarization"":0.00185,""after_reset_flip_probability"":0.0037,""before_measure_flip_probability"":0.0037,""before_round_data_bias_probability"":[0.000185,100],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018500000000000002,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
     29696,        56,         0,   0.391,pymatching,f773b74b2c8495d4897ae93f00298c2db4ba2a9aface67eabf7d1d785dd2a722,"{""d"":5,""eta"":1000,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,1000],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
     56320,       126,         0,   0.797,pymatching,2f23e4e7e661edec316c25f0b3ef227ff408de630b00d503145f00194cef307c,"{""d"":5,""eta"":100,""memory"":""Z"",""p"":0.002,""params"":{""after_clifford1_depolarization"":0.0002,""after_clifford2_depolarization"":0.002,""after_reset_flip_probability"":0.004,""before_measure_flip_probability"":0.004,""before_round_data_bias_probability"":[0.0002,100],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0002,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
     91136,       199,         0,    1.12,pymatching,c9e1fadd16aedef86e3641bd67b60ddc8eeba25d0d3b64b789a1c1efe6ac3e65,"{""d"":5,""eta"":100,""memory"":""Z"",""p"":0.0019,""params"":{""after_clifford1_depolarization"":0.00019,""after_clifford2_depolarization"":0.0019,""after_reset_flip_probability"":0.0038,""before_measure_flip_probability"":0.0038,""before_round_data_bias_probability"":[0.00019,100],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00019,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
    236544,       385,         0,    3.02,pymatching,348aec4358713a9cf51ee796be7201d819c831d087c3bd93b65df03b82c39543,"{""d"":5,""eta"":100,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,100],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
     64512,       105,         0,   0.782,pymatching,c609288bfcf8377a553f97046bd6af0c1f9f67660b50a08fa370fd0c5d17abce,"{""d"":5,""eta"":1000,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,1000],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00017,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
     44032,        75,         0,   0.578,pymatching,f773b74b2c8495d4897ae93f00298c2db4ba2a9aface67eabf7d1d785dd2a722,"{""d"":5,""eta"":1000,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,1000],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
