     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.218,pymatching,ffcf6b8b986a88fdfce0b09d0798a35757e402b2133620f0e831b79b37b122d7,"{""d"":13,""eta"":0.5,""memory"":""Z"",""p"":0.0019,""params"":{""after_clifford1_depolarization"":0.00019,""after_clifford2_depolarization"":0.0019,""after_reset_flip_probability"":0.0038,""before_measure_flip_probability"":0.0038,""before_round_data_bias_probability"":[0.00019,0.5],""distance"":13,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00019,""rounds"":39,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.203,pymatching,d031c8674315e8df5617ef39f51ccbf4b2b1f7b02ebf157c20793c713176a861,"{""d"":13,""eta"":0.5,""memory"":""Z"",""p"":0.00185,""params"":{""after_clifford1_depolarization"":0.000185,""after_clifford2_depolarization"":0.00185,""after_reset_flip_probability"":0.0037,""before_measure_flip_probability"":0.0037,""before_round_data_bias_probability"":[0.000185,0.5],""distance"":13,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018500000000000002,""rounds"":39,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.171,pymatching,e571ff9a6125add68be9855211fb6b0db9e879326033a2fb6f86555a546d7511,"{""d"":13,""eta"":1,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,1],""distance"":13,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00017,""rounds"":39,""x_distance"":null,""z_distance"":null}}",
         2,         0,         0,   0.157,pymatching,ffcf6b8b986a88fdfce0b09d0798a35757e402b2133620f0e831b79b37b122d7,"{""d"":13,""eta"":0.5,""memory"":""Z"",""p"":0.0019,""params"":{""after_clifford1_depolarization"":0.00019,""after_clifford2_depolarization"":0.0019,""after_reset_flip_probability"":0.0038,""before_measure_flip_probability"":0.0038,""before_round_data_bias_probability"":[0.00019,0.5],""distance"":13,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00019,""rounds"":39,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.219,pymatching,51d226138e687295f8b697457966e276060df23b40bff246d1a7f9af6b60a5f4,"{""d"":13,""eta"":0.5,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,0.5],""distance"":13,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018,""rounds"":39,""x_distance"":null,""z_distance"":null}}",
         2,         0,         0,   0.156,pymatching,d031c8674315e8df5617ef39f51ccbf4b2b1f7b02ebf157c20793c713176a861,"{""d"":13,""eta"":0.5,""memory"":""Z"",""p"":0.00185,""params"":{""after_clifford1_depolarization"":0.000185,""after_clifford2_depolarization"":0.00185,""after_reset_flip_probability"":0.0037,""before_measure_flip_probability"":0.0037,""before_round_data_bias_probability"":[0.000185,0.5],""distance"":13,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018500000000000002,""rounds"":39,""x_distance"":null,""z_distance"":null}}",
         2,         0,         0,   0.110,pymatching,e571ff9a6125add68be9855211fb6b0db9e879326033a2fb6f86555a546d7511,"{""d"":13,""eta"":1,""memory"":""Z"",""p"":0.0017,""params"":{""after_clifford1_depolarization"":0.00016999999999999999,""after_clifford2_depolarization"":0.0017,""after_reset_flip_probability"":0.0034,""before_measure_flip_probability"":0.0034,""before_round_data_bias_probability"":[0.00016999999999999999,1],""distance"":13,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00017,""rounds"":39,""x_distance"":null,""z_distance"":null}}",
         4,         0,         0,   0.156,pymatching,ffcf6b8b986a88fdfce0b09d0798a35757e402b2133620f0e831b79b37b122d7,"{""d"":13,""eta"":0.5,""memory"":""Z"",""p"":0.0019,""params"":{""after_clifford1_depolarization"":0.00019,""after_clifford2_depolarization"":0.0019,""after_reset_flip_probability"":0.0038,""before_measure_flip_probability"":0.0038,""before_round_data_bias_probability"":[0.00019,0.5],""distance"":13,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00019,""rounds"":39,""x_distance"":null,""z_distance"":null}}",
         2,         0,         0,   0.141,pymatching,51d226138e687295f8b697457966e276060df23b40bff246d1a7f9af6b60a5f4,"{""d"":13,""eta"":0.5,""memory"":""Z"",""p"":0.0018,""params"":{""after_clifford1_depolarization"":0.00017999999999999998,""after_clifford2_depolarization"":0.0018,""after_reset_flip_probability"":0.0036,""before_measure_flip_probability"":0.0036,""before_round_data_bias_probability"":[0.00017999999999999998,0.5],""distance"":13,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00018,""rounds"":39,""x_distance"":null,""z_distance"":null}}",
         1,         0,         0,   0.203,pymatching,5a30ce314da0f6424adba2753a4698cbf1c7923e906b6a14ec90dba53730172f,"{""d"":13,""eta"":0.5,""memory"":""Z"",""p"":0.002,""params"":{""after_clifford1_depolarization"":0.0002,""after_clifford2_depolarization"":0.002,""after_reset_flip_probability"":0.004,""before_measure_flip_probability"":0.004,""before_round_data_bias_probability"":[0.0002,0.5],""distance"":13,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0002,""rounds"":39,""x_distance"":null,""z_distance"":null}}",
