     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
        17,         1,         0,   0.015,pymatching,1fec02328ef2f56b78af919e78415b982274aabc3f0945c95dea60f1a6cfc8f6,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0035,""params"":{""after_clifford1_depolarization"":0.00035,""after_clifford2_depolarization"":0.0035,""after_reset_flip_probability"":0.007,""before_measure_flip_probability"":0.007,""before_round_data_bias_probability"":[0.00035,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00035000000000000005,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      1280,        31,         0,   0.031,pymatching,1fec02328ef2f56b78af919e78415b982274aabc3f0945c95dea60f1a6cfc8f6,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0035,""params"":{""after_clifford1_depolarization"":0.00035,""after_clifford2_depolarization"":0.0035,""after_reset_flip_probability"":0.007,""before_measure_flip_probability"":0.007,""before_round_data_bias_probability"":[0.00035,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00035000000000000005,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      2048,        72,         0,   0.047,pymatching,1fec02328ef2f56b78af919e78415b982274aabc3f0945c95dea60f1a6cfc8f6,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0035,""params"":{""after_clifford1_depolarization"":0.00035,""after_clifford2_depolarization"":0.0035,""after_reset_flip_probability"":0.007,""before_measure_flip_probability"":0.007,""before_round_data_bias_probability"":[0.00035,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00035000000000000005,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
        17,         1,         0,   0.015,pymatching,dbc9680b661c079d561510446befc38bbed34fb8d0746e1a245703615d7a913c,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.003,""params"":{""after_clifford1_depolarization"":0.00030000000000000003,""after_clifford2_depolarization"":0.003,""after_reset_flip_probability"":0.006,""before_measure_flip_probability"":0.006,""before_round_data_bias_probability"":[0.00030000000000000003,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00030000000000000003,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      2048,        42,         0,   0.031,pymatching,1fec02328ef2f56b78af919e78415b982274aabc3f0945c95dea60f1a6cfc8f6,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0035,""params"":{""after_clifford1_depolarization"":0.00035,""after_clifford2_depolarization"":0.0035,""after_reset_flip_probability"":0.007,""before_measure_flip_probability"":0.007,""before_round_data_bias_probability"":[0.00035,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00035000000000000005,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
       273,        17,         0,   0.016,pymatching,249aea649a270f438afdc1d14df3192d66c74cb94309ddb443ecd701ea47d2ab,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":0.008,""before_measure_flip_probability"":0.008,""before_round_data_bias_probability"":[0.0004,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0004,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      1280,        24,         0,   0.016,pymatching,dbc9680b661c079d561510446befc38bbed34fb8d0746e1a245703615d7a913c,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.003,""params"":{""after_clifford1_depolarization"":0.00030000000000000003,""after_clifford2_depolarization"":0.003,""after_reset_flip_probability"":0.006,""before_measure_flip_probability"":0.006,""before_round_data_bias_probability"":[0.00030000000000000003,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00030000000000000003,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      1024,        16,         0,   0.031,pymatching,dbc9680b661c079d561510446befc38bbed34fb8d0746e1a245703615d7a913c,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.003,""params"":{""after_clifford1_depolarization"":0.00030000000000000003,""after_clifford2_depolarization"":0.003,""after_reset_flip_probability"":0.006,""before_measure_flip_probability"":0.006,""before_round_data_bias_probability"":[0.00030000000000000003,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00030000000000000003,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      1024,        63,         0,   0.031,pymatching,249aea649a270f438afdc1d14df3192d66c74cb94309ddb443ecd701ea47d2ab,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.004,""params"":{""after_clifford1_depolarization"":0.0004,""after_clifford2_depolarization"":0.004,""after_reset_flip_probability"":0.008,""before_measure_flip_probability"":0.008,""before_round_data_bias_probability"":[0.0004,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.0004,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
      2048,        65,         0,   0.047,pymatching,1fec02328ef2f56b78af919e78415b982274aabc3f0945c95dea60f1a6cfc8f6,"{""d"":5,""eta"":0.5,""memory"":""Z"",""p"":0.0035,""params"":{""after_clifford1_depolarization"":0.00035,""after_clifford2_depolarization"":0.0035,""after_reset_flip_probability"":0.007,""before_measure_flip_probability"":0.007,""before_round_data_bias_probability"":[0.00035,0.5],""distance"":5,""exclude_other_basis_detectors"":false,""nswaps"":[3,2],""pswap_depolarization"":0.00035000000000000005,""rounds"":15,""x_distance"":null,""z_distance"":null}}",
